name,description,sections
Class 1,Primary level class for young learners,"A,B,C"
Class 2,Second grade primary education,"A,B"
Class 3,Third grade primary education,"A,B,C,D"
Class 4,Fourth grade primary education,"A,B"
Class 5,Fifth grade primary education,"A,B,C"
Class 6,Sixth grade middle school,"A,B,C,D"
Class 7,Seventh grade middle school,"A,B"
Class 8,Eighth grade middle school,"A,B,C"
Class 9,Ninth grade secondary education,"A,B,C,D"
Class 10,Tenth grade secondary education,"A,B"
Class 11 Science,Eleventh grade science stream,"A,B"
Class 11 Commerce,Eleventh grade commerce stream,"A,B,C"
Class 11 Humanities,Eleventh grade humanities stream,"A,B"
Class 12 Science,Twelfth grade science stream,"A,B,C"
Class 12 Commerce,Twelfth grade commerce stream,"A,B"
Class 12 Humanities,Twelfth grade humanities stream,"A,B,C"
